Date,Site,ID,TSM SW volume_mL,Chl SW vol_mL,Chl measured ug/L,Dry weight_filter_only,Date dried_60C,Dry weight_mg_filter_and_TSM,Amt Aluminum on filter,Dry weight_mg,TSM_mg/L_all_data,TSM_mg/L,Pre-ash wt_mg_filter_and_ash,Ash weight_mg_Filter_and_ash,ash only mg,AFDW mg,AFDW mg/L,% organic,POM (ug / L),Filter appearance notes - Dry wt,Filter appearance notes - Ash wt,Other notes,More notes
2/16/2023,East Dennis,,400,125,7.551,24.816,,26.688,good,1.872,4.680,,26.537,25.958,0.579,1.293,3.2,,1.8,,,,
2/21/2023,Provincetown,,295,145,3.411,26.052,,28.19,good,2.138,7.247,,27.846,26.926,0.920,1.218,4.1,,4.3,,,,
2/21/2023,Provincetown,,360,150,3.431,25.445,,27.151,,1.706,4.739,4.739,27.032,26.171,0.861,0.845,2.3,0.50,2.7,,,,
2/22/2023,Cockle Cove,,300,NA,,24.55,,26.955,good,2.405,8.017,,26.34,25.491,0.849,1.556,5.2,,4.9,,,,
2/22/2023,Cockle Cove,,300,NA,,24.334,,26.638,ok,2.304,7.680,,25.604,24.85,0.754,1.550,5.2,,6.0,some filter on foil,,,
2/23/2023,Barnstable Harbor,,300,NA,,25.67,,28.024,,2.354,7.847,7.847,27.734,26.947,0.787,1.567,5.2,0.67,3.6,,,,
2/23/2023,Barnstable Harbor,,300,NA,,24.846,,26.9,,2.054,6.847,6.847,26.781,26.039,0.742,1.312,4.4,0.64,2.9,,,,
2/24/2023,Eel Pond,,400,130,,25.293,,26.539,Using pre-ash weight,1.246,,,26.539,25.966,0.573,0.673,1.7,,1.4,"no weight previously recorded, but weighed prior to muffling.",,,
2/24/2023,Eel Pond,,400,130,,25.797,,27.351,Using pre-ash weight,1.554,,,27.351,26.705,0.646,0.908,2.3,,1.6,"no weight previously recorded, but weighed prior to muffling.",,,
3/23/2023,Eel Pond,,200,150,1.653,25.551,,26.805,none,1.254,6.270,6.270,,,,,,0.00,,,,,
3/23/2023,Eel Pond,,200,150,1.576,25.243,,28.619,AL,3.376,16.880,,,,,,,,,,,,
3/22/2023,East Dennis,1,200,150,5.074,25.955,,27.136,AL,1.181,5.905,,,,,,,,,,,,
3/22/2023,East Dennis,1,200,150,4.919,24.152,,31.029,AL,6.877,34.385,,,26.583,2.431,4.446,22.2,,22.2,,,,
3/22/2023,East Dennis,2,200,,,25.243,,34.784,AL,9.541,47.705,,,31.277,6.034,3.507,17.5,,17.5,ash weight of 25.243 filter swapped and corrected,,,
3/22/2023,East Dennis,2,200,,,24.152,,28.89,AL,4.738,23.690,,,26.1,1.948,2.790,14.0,,14.0,ash weight of 25.152 filter swapped and corrected,,,
3/22/2023,East Dennis,,200,,,25.551,,29.79,,4.239,21.195,21.195,,27.736,2.185,2.054,10.3,0.48,10.3,,,,
3/20/2023,Provincetown,1,250,230,10.082,25.175,,29.807,AL,4.632,18.528,,,27.293,2.118,2.514,10.1,,10.1,,,,
3/20/2023,Provincetown,2,350,115,5.858,26.115,,33.241,AL,7.126,20.360,,,29.802,3.687,3.439,9.8,,9.8,,,,
3/21/2023,Barn,1,350,193,5.59,25.484,,28.905,AL,3.421,9.774,,,27.396,1.912,1.509,4.3,,4.3,,,,
3/21/2023,Barn,2,350,182,5.624,25.697,,27.495,none,1.798,5.137,5.137,,26.773,1.076,0.722,2.1,0.40,2.1,,,,
3/22/2023,Chatham,1,250,184,4.549,25.224,,37.549,AL,12.325,49.300,,,33.27,8.046,4.279,17.1,,17.1,,,,
3/22/2023,Chatham,2,350,182,15.223,25.24,,29.927,AL,4.687,13.391,,,27.451,2.211,2.476,7.1,,7.1,,,,
4/17/2023,Provincetown,,200,150,3.325,24.115,,27.136,AL,3.021,15.105,,,25.487,1.372,1.649,8.2,,8.2,,,,
4/17/2023,Provincetown,,200,100,3.617,25.356,,31.029,AL,5.673,28.365,,,27.887,2.531,3.142,15.7,,15.7,,,,
4/18/2023,Eel Pond,,400,300,1.963,25.558,,27.298,AL,1.740,4.350,,,26.497,0.939,0.801,2.0,,2.0,,,,
4/18/2023,Eel Pond,,400,300,1.818,25.363,,26.858,(AL),1.495,3.738,,,26.463,1.100,0.395,1.0,,1.0,,,,
4/19/2023,Chatham all,,800,150,5.445,50.344,,54.528,AL,4.184,5.230,,,52.031,1.687,2.497,3.1,,6.2,Used 200um mesh filter. Including above and below this mesh size. Note that half of the material is above this mesh size.,,,
4/19/2023,Chatham all,,800,150,4.862,50.734,,57.575,(AL),6.841,8.551,,,52.536,1.802,5.039,6.3,,12.6,Used 200um mesh filter. Including above and below this mesh size. Note that half of the material is above this mesh size.,,,
4/19/2023,East Dennis,,400,150,2.198,25.247,,28.941,(AL),3.694,9.235,,,27.681,2.434,1.260,3.2,,3.2,,,,
4/19/2023,East Dennis,,400,150,1.832,25.21,,28.634,(AL),3.424,8.560,,,27.340,2.130,1.294,3.2,,3.2,,,,
4/21/2023,Barnstable,1,400,,,25.127,,,,,,,,,,,,,,,,,
4/21/2023,Barnstable,2,400,150,2.139,25.848,,28.809,(AL),2.961,7.403,,,27.705,1.857,1.104,2.8,,2.8,,,,
4/21/2023,Barnstable,2,400,150,2.139,25.345,,28.798,(AL),3.453,8.633,,,27.578,2.233,1.220,3.1,,3.1,,,,
5/8/2023,Eel Pond,1,400,150,,25.282,,27.031,(AL),1.749,4.373,,,26.342,1.060,0.689,1.7,,1.7,,,,
5/8/2023,Eel Pond,2,400,150,,26.029,,30.164,AL,4.135,10.338,,,28.442,2.413,1.722,4.3,,4.3,,,,
5/9/2023,Barnstable,1,400,150,,26.023,,28.384,(AL),2.361,5.903,,,27.294,1.271,1.090,2.7,,2.7,,,,
5/9/2023,Barnstable,2,400,150,,25.951,,28.86,(AL),2.909,7.273,,,27.797,1.846,1.063,2.7,,2.7,,,,
5/10/2023,Ptown,1,400,150,,25.733,,29.819,(AL),4.086,10.215,,,27.601,1.868,2.218,5.5,,5.5,,,,
5/10/2023,Ptown,2,400,150,,25.399,,30.497,(AL),5.098,12.745,,,27.988,2.589,2.509,6.3,,6.3,,,,
5/11/2023,Chatham,1,400,150,5.133,25.995,,28.792,(AL),2.797,6.993,,,27.599,1.604,1.193,3.0,,3.0,,,,
5/11/2023,Chatham,2,400,150,6.143,25.768,,28.675,(AL),2.907,7.268,,,27.406,1.638,1.269,3.2,,3.2,,,,
5/12/2023,East Dennis,2,400,150,3.616,25.828,,28.071,(AL),2.243,5.608,,,26.348,0.520,1.723,4.3,,4.3,,,,
5/12/2023,East Dennis,1,400,150,3.597,24.968,,27.81,(AL),2.842,7.105,,,25.694,0.726,2.116,5.3,,5.3,,,,
6/9/2023,Eel Pond,1-repeat,200,150,,25.38,,34.663,AL,9.283,46.415,,,31.517,6.137,3.146,15.7,,15.7,,,,
6/9/2023,Eel Pond,2,200,150,,25.428,,33.056,AL,7.628,38.140,,,31.003,5.575,2.053,10.3,,10.3,,,,
6/9/2023,Eel Pond,1,200,150,,25.067,,42.314,(AL) (Sediment in sample so reran as #3 - field notes),17.247,86.235,,,39.103,14.036,3.211,16.1,,16.1,,,,
6/11/2023,Ptown,,400,150,,25.418,,27.995,(AL),2.577,6.443,,,26.689,1.271,1.306,3.3,,3.3,,,,
6/11/2023,Ptown,,400,150,,25.938,,28.738,(AL),2.800,7.000,,,27.374,1.436,1.364,3.4,,3.4,,,,
